,UniqueID,,Course,
,17,,GEOG307,
,17,,GEOG313,
,17,,GEOG321,
,17,,GEOG339,
,17,,GEOG341,
,17,,GEOG351,
,17,,GEOG357,
,17,,GEOG371,
,17,,GEOG397.02,
,17,,GERM317,
,17,,GLGY209,
,17,,HROD317,
,17,,HROD403,
,17,,HTST209,
,17,,HTST319,
,17,,MATH249,
,17,,MGIS317,
,17,,MGIS463,
,17,,MGST391,
,17,,MKTG317,
,17,,OPMA317,
,17,,OPMA401,
,17,,OPMA405,
,17,,RELS203,
,17,,RMIN317,
,17,,RMIN439,
,17,,STAT213,
,17,,STAT217,
,18,,AMAT217,
,18,,ANTH311,
,18,,BCEM393,
,18,,BIOL231,
,18,,BIOL233,
,18,,BIOL311,
,18,,BIOL313,
,18,,BIOL331,
,18,,CHEM201,
,18,,CHEM203,
,18,,CHEM351,
,18,,CHEM353,
,18,,CHEM373,
,18,,CPSC233,
,18,,CPSC313,
,18,,CPSC331,
,18,,CPSC335,
,18,,CPSC413,
,18,,CPSC453,
,18,,CPSC457,
,18,,CPSC461,
,18,,CPSC471,
,18,,CPSC503,
,18,,CPSC559,
,18,,CPSC571,
,18,,ECON201,
,18,,ECON203,
,18,,ECON301,
,18,,ECON311,
,18,,ENGG205,
,18,,ENGG233,
,18,,ENGG251,
,18,,ENGL231,
,18,,GLGY209,
,18,,GOPH375,
,18,,GRST211,
,18,,HTST317,
,18,,MATH253,
,18,,MATH271,
,18,,MATH311,
,18,,MATH349,
,18,,MDSC404,
,18,,MDSC404A,
,18,,MGIS321,
,18,,PHIL279,
,18,,PHYS221,
,18,,PHYS223,
,18,,PSYC205,
,18,,PSYC345,
,18,,PSYC375,
,18,,STAT211,
,18,,STAT213,
,19,,ANTH203,
,19,,ARHI203,
,19,,ART336,
,19,,BIOL231,
,19,,BIOL233,
,19,,CHEM201,
,19,,ECON201,
,19,,ECON203,
,19,,FREN215,
,19,,GEOG213,
,19,,GEOG397.04,
,19,,GERM202,
,19,,GERM204,
,19,,GERM357,
,19,,GLGY201,
,19,,HTST201,
,19,,HTST307,
,19,,HTST315,
,19,,HTST319,
,19,,HTST333,
,19,,HTST381,
,19,,HTST383,
,19,,HTST413.02,
,19,,HTST483,
,19,,HTST485,
